username,target
@LeaderlessOne,@larserikringen
@LeaderlessOne,@Spartakus737
@LeaderlessOne,@misrnasser
@WtxNews,@yvonneridley
@WtxNews,@Bahabris
@LeaderlessOne,@larserikringen
@LeaderlessOne,@Spartakus737
@LeaderlessOne,@M4sk8er
@LeaderlessOne,@Spartakus737
@LeaderlessOne,@M4sk8er
@olga_89_,@FilippoGrandi
@olga_89_,@UN
@AmbazoniaAmba,@JackPeters80
@AmbazoniaAmba,@UN
@AmbazoniaAmba,@AvniDervishi
@AmbazoniaAmba,@UN
@AmbazoniaAmba,@asifjavedoffic1
@AmbazoniaAmba,@UN
@AmbazoniaAmba,@miriwood
@AmbazoniaAmba,@UN
@AmbazoniaAmba,@5L_scripts
@AmbazoniaAmba,@UN
@AmbazoniaAmba,@erictheunicorn
@AmbazoniaAmba,@UN
@EncroMoney,@BorisJohnson
@EncroMoney,@POTUS
@EncroMoney,@Europarl_EN
@olga_89_,@Ligue1UberEats
@olga_89_,@StadeDeReims
@olga_89_,@Flips_Alexis
@wagagaikoko,@Ash_Hirani
@wagagaikoko,@GBNEWS
@Ice_Phantom,@WhoopiGoldberg
@Ice_Phantom,@tariqnasheed
@Ice_Phantom,@TheBlackChannel
@WillTaak,@Eva9843
@WillTaak,@Raymo35
@WillTaak,@AFP
@UncleObama_,@JudithLockhar16
@UncleObama_,@UKChange
@kijanayatown,@RepCohen
@kijanayatown,@POTUS
@Whyruso_serious,@MargaretAtwood
@Whyruso_serious,@thedailybeast
@UncleObama_,@NickFerrariLBC
@UncleObama_,@IainDale
@UncleObama_,@HackneyAbbott
@JayHassan20,@TakkumakiT
@JayHassan20,@ayosogunro
@wisdom_quo,@BBC
@wisdom_quo,@BBCNews
@UncleObama_,@yours_kat
@UncleObama_,@afizejem
@UncleObama_,@iyoba4u
@abhinavrajkumar,@BorisJohnson
@abhinavrajkumar,@abdulla_shahid
@abhinavrajkumar,@antonioguterres
@HassanY89,@UN
@HassanY89,@_AfricanUnion
@HassanY89,@PressTV
@Whyruso_serious,@EmilyGorcenski
@Whyruso_serious,@gautham_t
@TurbineJetRC,@Sundancer_UK
@TurbineJetRC,@Two_Penneth
